emp_no,salary
11791,40000
11797,88050
11801,67265
11807,40000
11810,41256
11811,52695
11817,50638
11822,67396
11823,72637
11829,40000
11832,40000
11836,40000
11841,90296
11842,40000
11844,78049
11846,53448
11853,61941
11857,94805
11862,46011
11864,52517
11868,48349
11869,62968
11871,67424
11872,43159
11876,45372
11881,76541
11888,53720
11894,56198
11896,40000
11897,80049
11906,81324
11911,40000
11915,58042
11917,40000
11926,41612
11931,73369
11933,56130
11938,40000
11940,60193
11944,52061
11945,53056
11948,49929
11949,40000
11951,40000
11965,57709
11972,52908
11980,58241
11983,40000
11989,40000
11993,56505
11994,49761
12007,40000
12011,85833
12015,42853
12021,40000
12023,40000
12024,65580
12028,51314
12030,40000
12034,40148
12036,67143
12037,47805
12040,64813
12043,49009
12044,40000
12047,52051
12050,46704
12053,48319
12054,67400
12060,40000
12062,44199
12063,56022
12069,51928
12070,50233
12076,75381
12080,47946
12082,72118
12089,46288
12090,46269
12091,40000
12092,40000
12093,40000
12094,44788
12099,104610
12102,90853
12112,76538
12114,40000
12122,46398
12123,64879
12125,41215
12138,40000
12140,40000
12149,109934
12159,61210
12160,60391
12164,43366
12165,41951
12168,40000
12172,40000
12174,40000
12183,40000
12186,70221
12190,40000
12191,45307
12192,41625
12205,40000
12206,40000
12210,40000
12213,79834
12216,40000
12218,40000
12219,57507
12221,56736
12222,55840
12223,54459
12230,53692
12231,40000
12235,100755
12242,46911
12247,59183
12249,70099
12250,61573
12256,40000
12258,40748
12264,51816
12269,40000
12270,52840
12272,43811
12273,90736
12281,45417
12282,40000
12291,67506
12298,62015
12308,58741
12311,40000
12316,46261
12317,40000
12327,67449
12328,51299
12338,46270
12339,40000
12341,40000
12343,52134
12355,70724
12364,42337
12365,40000
12368,45415
12373,75986
12379,43508
12381,42211
12388,40000
12394,40000
12395,66909
12399,85582
12411,97610
12413,53179
12417,67342
12421,52691
12422,71376
12426,40000
12427,40000
12434,40000
12438,109440
12450,40000
12452,40000
12454,41347
12464,50448
12466,65175
12468,41627
12475,40000
12480,62415
12487,40000
12488,40000
12489,63306
12490,40000
12492,59589
12497,81191
12499,69706
12501,76082
12502,40000
12504,40000
12506,50229
12509,40000
12514,54241
12515,50655
12520,40000
12522,47733
12523,94760
12524,42824
12528,40000
12534,66715
12537,85107
12540,40000
12541,93105
12542,44176
12551,40000
12553,40000
12555,68051
12557,41840
12558,40000
12563,40000
12564,76772
12571,53163
12574,66284
12586,50972
12588,49125
12589,59441
12590,72208
12596,40000
12597,63589
12601,41714
12603,43168
12608,40000
12612,92187
12617,55663
12623,79700
12626,61375
12630,41052
12635,40000
12636,40000
12638,56677
12639,40000
12642,68271
12644,40000
12645,63135
12651,75150
12656,70030
12662,69016
12663,49966
12664,40000
12666,40000
12670,45281
12672,54041
12680,46321
12687,78376
12689,59689
12691,48493
12697,40000
12707,53664
12709,45510
12715,40000
12717,53194
12722,62325
12725,40000
12726,61177
12729,51796
12731,40000
12732,74436
12734,40000
12746,63044
12747,40000
12748,40000
12753,47071
12754,56137
12755,40196
12761,62465
12769,40000
12770,55103
12773,65556
12774,40000
12777,50672
12785,68680
12786,51030
12789,41358
12790,87760
12795,56969
12796,40000
12798,81145
12799,42816
12803,91789
12807,48331
12810,46737
12815,65073
12819,48455
12821,46727
12828,85769
12829,51521
12840,40000
12843,40000
12848,40000
12851,64013
12855,40000
12857,52646
12863,62803
12865,64679
12868,40000
12869,61803
12872,56040
12879,40000
12881,66390
12885,40000
12887,40000
12889,58901
12890,66803
12893,50803
12895,40000
12899,40000
12905,58659
12910,69301
12915,55723
12923,40000
12926,68314
12934,47274
12936,64450
12940,49760
12941,67069
12944,40000
12949,40000
12960,40000
12962,73680
12969,59876
12977,61326
12982,40000
12983,57252
12986,50021
12987,56823
13000,40000
13002,40935
13004,40000
13008,40000
13011,51216
13013,40000
13027,65940
13030,51770
13034,77736
13046,40000
13047,52323
13048,40000
13052,42693
13054,40000
13065,58147
13067,40000
13075,40000
13076,50582
13084,64106
13086,40000
13093,75658
13096,52544
13103,40000
13108,40000
13110,57941
13124,73785
13126,40000
13133,67777
13134,51227
13140,40000
13143,40000
13144,52825
13146,61398
13147,77429
13150,40000
13156,48285
13159,54536
13161,49733
13165,42796
13168,49210
13170,49012
13171,40000
13173,46354
13175,65572
13179,90233
13182,46832
13186,93138
13189,40000
13192,43986
13200,50821
13202,51915
13203,40000
13204,45177
13206,44383
13210,83961
13213,61131
13216,40000
13227,88669
13232,40000
13233,49414
13235,57427
13238,40000
13240,49018
13246,83156
13250,47829
13252,55454
13260,40000
13263,61281
13272,40000
13276,65836
13282,45990
13288,40000
13290,40000
13291,54720
13294,57991
13302,40000
13303,63524
13309,40000
13312,53718
13315,40000
13320,47422
13332,40000
13333,50997
13341,40000
13342,59327
13343,40000
13346,40000
13347,79839
13349,66066
13357,40000
13361,40000
13368,52872
13371,40000
13373,82749
13374,40000
13378,64833
13379,52620
13385,40000
13386,91420
13388,52597
13389,40000
13390,40000
13392,69221
13394,44631
13396,40000
13402,40000
13405,60799
13407,60348
13408,52479
13412,56217
13415,61838
13416,40000
13417,53074
13422,59466
13427,50468
13439,49283
13442,40000
13443,40000
13445,53194
13451,40000
13453,52593
13456,40000
13457,40812
13458,41375
13460,40000
13463,40000
13465,49821
13467,56977
13472,40000
13475,55431
13493,40000
13500,57581
13504,41895
13505,46130
13520,46435
13522,70884
13523,45333
13524,52849
13535,40000
13539,54246
13540,82488
13544,91559
13546,50295
13549,40000
13552,73346
13554,49930
13571,61100
13575,73636
13576,73022
13586,40000
13591,40000
13596,57320
13598,76264
13600,40000
13605,70404
13612,40000
13617,40000
13621,73192
13624,40000
13629,40000
13642,45456
13643,64841
13648,47723
13653,53242
13662,66158
13670,40000
13673,50560
13680,46968
13683,40000
13685,48322
13697,40000
13704,40000
13708,48399
13713,56608
13719,49098
13721,64754
13727,50798
13730,53832
13738,48349
13744,58206
13745,40000
13758,66365
13762,88048
13766,43748
13769,61025
13772,57288
13775,70161
13776,53362
13786,74494
13787,40000
13792,59127
13796,50962
13797,54537
13798,41101
13799,40000
13800,40000
13809,43735
13811,52175
13815,40000
13825,54704
13831,40000
13838,40000
13841,52277
13842,40000
13846,61097
13847,40599
13853,61615
13856,77934
13857,51929
13859,40000
13861,42013
13863,84893
13870,40000
13875,40000
13884,44785
13888,40000
13894,48958
13897,48476
13899,40000
13904,73885
13911,64188
13913,42772
13919,51486
13922,80951
13924,40000
13928,76677
13934,46507
13936,47292
13942,40000
13943,87119
13944,54309
13946,52426
13948,42837
13951,82054
13960,43204
13962,67965
13966,40000
13969,60392
13972,49895
13987,49919
13990,52723
13992,81318
13993,69962
13999,40000
14001,40000
14005,40000
14011,50800
14012,40000
14015,63084
14024,49470
14030,51275
14031,58367
14034,69700
14038,62982
14039,55689
14041,63235
14049,40000
14051,40000
14058,56244
14066,69020
14067,44669
14074,44894
14084,40000
14086,68537
14088,44821
14093,44420
14105,76767
14107,82396
14111,52696
14112,61757
14118,46248
14122,62343
14128,47537
14130,40000
14140,64727
14146,40000
14147,40000
14148,40000
14150,40000
14159,64495
14165,40000
14167,40000
14168,40000
14172,61519
14182,80254
14191,40155
14199,40000
14200,52225
14209,40000
14214,49797
14217,40000
14220,68017
14232,50568
14233,40000
14234,59812
14236,40000
14237,57219
14241,55280
14242,40000
14244,61406
14245,40000
14246,47343
14248,40000
14251,40000
14252,40000
14253,40000
14257,40000
14259,42593
14273,64222
14277,40000
14281,47391
14285,53317
14290,78736
14292,41846
14298,40000
14302,45483
14310,40000
14320,40000
14321,83644
14322,50363
14323,40000
14326,51046
14327,44147
14329,46371
14330,46376
14331,40000
14332,40000
14335,54734
14340,42858
14342,56327
14344,41979
14354,40000
14360,43476
14364,56970
14369,43031
14370,41248
14372,57667
14382,66995
14384,58260
14385,40000
14388,52022
14394,40000
14398,41978
14406,74442
14411,58151
14418,61764
14422,59001
14424,40000
14434,40000
14436,65830
14439,80654
14455,63969
14456,57852
14457,52732
14460,56267
14478,40000
14481,40000
14483,40000
14484,64573
14486,40000
14490,60770
14494,40000
14497,55199
14498,40000
14500,50058
14501,63646
14502,54596
14509,40000
14513,83273
14515,61645
14516,73262
14518,64238
14522,40000
14524,104682
14526,60761
14530,40000
14534,49590
14537,48332
14544,104153
14548,40000
14552,40000
14556,40000
14560,62770
14563,40000
14564,62163
14568,40000
14572,40000
14574,40000
14577,40000
14581,59499
14582,40000
14589,40000
14595,70860
14597,44486
14600,41352
14603,55369
14607,67813
14610,85426
14611,86684
14620,53303
14621,66404
14622,40000
14623,47200
14627,49395
14632,40000
14634,46360
14639,79405
14640,42662
14642,54553
14645,45647
14646,40000
14648,89209
14654,72278
14659,40926
14665,85792
14667,43032
14668,53268
14670,40000
14674,40000
14675,40000
14676,67712
14677,40000
14678,40000
14681,62865
14683,41107
14684,68504
14690,40000
14692,40000
14693,59960
14703,40721
14710,40341
14716,53864
14717,45421
14723,40000
14724,66530
14741,72648
14745,46886
14746,46307
14750,40000
14752,61170
14756,65797
14761,88993
14763,40000
14776,49455
14777,60709
14780,51232
14785,46936
14789,48395
14791,40000
14793,47045
14801,57944
14802,40000
14814,40000
14815,40000
14817,41203
14818,40000
14820,81483
14821,42545
14826,91205
14828,45410
14837,55203
14839,40000
14842,46685
14853,58311
14874,40000
14877,40000
14879,54322
14881,67611
14885,40000
14888,60916
14899,64365
14902,40000
14906,54758
14908,40000
14909,40000
14911,62738
14914,40000
14915,40733
14920,40000
14921,55140
14923,40000
14925,40000
14926,53756
14928,53377
14930,42712
14941,43608
14942,40000
14949,44930
14954,43510
14971,55187
14973,63316
14978,75352
14983,86754
14993,45407
15004,46038
15005,50368
15015,80996
15016,40000
15018,40668
15019,41721
15025,57957
15029,40000
15030,40000
15036,40000
15042,40000
15043,104525
15049,40000
15052,40630
15055,40000
15059,40000
15064,83820
15066,43455
15069,40000
15071,97484
15075,40000
15077,40000
15080,40000
15082,63024
15087,40000
15089,48594
15092,40000
15094,64621
15102,40374
15105,75800
15112,44588
15114,40000
15118,40000
15123,47576
15124,40000
15129,40000
15134,62752
15136,59986
15139,71066
15143,74525
15145,51443
15150,47983
15151,61253
15155,40000
15169,64912
15176,98401
15179,51637
15183,59214
15184,56726
15193,47039
15195,51315
15196,55824
15202,40000
15204,40000
15207,44839
15208,44109
15216,43855
15218,44614
15223,40000
15228,40000
15230,70187
15231,48675
15234,47654
15237,40000
15243,41015
15248,64696
15253,40396
15254,46211
15263,72318
15269,60930
15271,88026
15272,40000
15283,50063
15292,87586
15303,40000
15308,40000
15319,40000
15321,40000
15324,40000
15329,41839
15330,53020
15331,78519
15337,40000
15340,40000
15341,81298
15343,48936
15354,40782
15358,40000
15361,40000
15365,41309
15366,40712
15369,81954
15370,67631
15372,79245
15374,40000
15375,65920
15377,50274
15382,66083
15390,40000
15392,55638
15395,40931
15403,52659
15406,40000
15408,40000
15409,41103
15410,58123
15412,62190
15414,74013
15420,40000
15422,64396
15425,47184
15428,40000
15438,43326
15441,40000
15452,40000
15454,57571
15459,40000
15461,54875
15465,40000
15470,40693
15474,90430
15479,40000
15480,47645
15482,47679
15484,40611
15489,53575
15491,61291
15497,44126
15504,40000
15505,56848
15508,44377
15510,48661
15511,76880
15512,59369
15513,76266
15517,40000
15518,55563
15525,40000
15532,53298
15534,63090
15535,40000
15541,50265
15543,40000
15548,48171
15550,40000
15555,40000
15563,56239
15565,73532
15566,61655
15571,40000
15582,72083
15583,85961
15593,76621
15600,40000
15601,83263
15603,40000
15604,65727
15621,52313
15636,40000
15637,73742
15638,54600
15643,58685
15646,64477
15650,45913
15651,50313
15656,66141
15662,40000
15664,53688
15668,40000
15671,58919
15677,40000
15682,40000
15684,40000
15687,62333
15692,40000
15693,52017
15703,40000
15708,85063
15710,40000
15714,40000
15715,40000
15717,95275
15724,40000
15726,70522
15733,40000
15734,49292
15739,54605
15740,57994
15743,40000
15744,41115
15750,40000
15763,60153
15765,40000
15767,40000
15769,61575
15772,48304
15776,68190
15778,44337
15788,53521
15799,64458
15809,50619
15812,67864
15819,63847
15821,40000
15840,87972
15841,40000
15846,40000
15847,40000
15855,40000
15861,50890
15866,40000
15867,44007
15869,40000
15871,61545
15876,51140
15877,40000
15880,40000
15885,79876
15889,63393
15892,60367
15893,46831
15895,73364
15901,40000
15902,40000
15905,47421
15910,40648
15911,45602
15918,73476
15934,50454
15938,69499
15941,40000
15942,50486
15943,40000
15944,45281
15945,57717
15948,40000
15949,40000
15955,45283
15960,49265
15966,40000
15967,74527
15971,42963
15977,44282
15978,40000
15984,40000
15989,47599
15993,45611
16000,40000
16005,69484
16008,48384
16013,40915
16018,52560
16019,40000
16022,40000
16025,84433
16028,53714
16033,40000
16052,40000
16053,45691
16056,48691
16066,74757
16068,53031
16069,40000
16075,40000
16076,47061
16077,49020
16086,42903
16088,40000
16093,40000
16094,40000
16096,41514
16099,40000
16109,58718
16117,98795
16118,40000
16120,80251
16126,68863
16130,40000
16134,40000
16138,67593
16142,54681
16145,50877
16147,45868
16149,55398
16154,40000
16156,93906
16165,40000
16166,40000
16170,74119
16175,70428
16180,69407
16185,44003
16192,40000
16198,47730
16201,53081
16206,40000
16215,83701
16218,40000
16219,40000
16224,74966
16227,58619
16229,40000
16230,40000
16233,54684
16234,40000
16238,62713
16246,40000
16249,40000
16252,64982
16257,70108
16262,90599
16266,57642
16270,71078
16272,40000
16274,65521
16278,43802
16289,70459
16300,66106
16301,50704
16313,40935
16320,40000
16324,40000
16329,40000
16332,73736
16337,40000
16341,40000
16347,72191
16355,80403
16364,73503
16365,40000
16368,40000
16377,62147
16380,42820
16382,66986
16383,55977
16384,44031
16388,40000
16392,41016
16397,66757
16398,71254
16399,59384
16404,45689
16405,59045
16412,66524
16415,61617
16425,53045
16426,40000
16427,48702
16437,67860
16438,52449
16446,94600
16447,40000
16448,76979
16452,43944
16453,47433
16457,56830
16466,40000
16471,44976
16472,54267
16479,62446
16480,87062
16481,63974
16482,40000
16484,70261
16486,57496
16487,73302
16490,85462
16491,40000
16499,40000
16504,40000
16508,42769
16510,40000
16511,63199
16526,40000
16530,40000
16535,52593
16537,40000
16539,40000
16544,50856
16546,47819
16549,60531
16551,82980
16554,40000
16556,53954
16559,40000
16567,40000
16569,40000
16570,46162
16577,55076
16580,40000
16582,40000
16586,40000
16588,40000
16607,54558
16616,75394
16617,40000
16619,40000
16622,40000
16629,40000
16636,40000
16644,47541
16655,54859
16657,63463
16658,50917
16668,63915
16669,52669
16672,55265
16674,40000
16678,41265
16679,40000
16680,40000
16683,60120
16686,80191
16692,40603
16695,63658
16698,43050
16704,45798
16716,54270
16719,40000
16723,56932
16729,51318
16730,54296
16731,48868
16744,54561
16747,55717
16751,40000
16756,61544
16759,40000
16766,44033
16772,73187
16776,40000
16778,52670
16779,54802
16782,75184
16783,40000
16786,40000
16799,54405
16801,48932
16803,50968
16806,72405
16808,87215
16828,51787
16829,69422
16838,83313
16843,40000
16851,51771
16852,48864
16856,72853
16859,74669
16862,40000
16864,50361
16869,40000
16871,55303
16875,40000
16880,40000
16889,58489
16894,40000
16895,41387
16896,45152
16897,57244
16901,40000
16902,40000
16910,57230
16915,57109
16917,51984
16919,40184
16921,71025
16933,69957
16934,40000
16938,44073
16944,85060
16952,48158
16954,47943
16955,74715
16969,49377
16979,40000
16986,61653
16988,47878
16993,57751
16999,40000
17007,80722
17011,97164
17012,40000
17014,53876
17018,40000
17024,58181
17034,40000
17040,48512
17041,40492
17044,45207
17046,44955
17048,46913
17055,46654
17059,40000
17062,76038
17063,91391
17066,59260
17068,40000
17072,40000
17076,60092
17078,44442
17080,40000
17081,40846
17085,40000
17089,67779
17090,40000
17092,40000
17093,43944
17098,40000
17100,40644
17101,40173
17102,89793
17103,48187
17118,50753
17120,40000
17123,79885
17125,40000
17126,40000
17128,46832
17132,56511
17141,44827
17143,40000
17146,65674
17148,50977
17157,42856
17158,48426
17159,56346
17160,49824
17163,47086
17169,57648
17172,62280
17179,42835
17181,56376
17191,50099
17199,40000
17200,68977
17214,70041
17215,47977
17220,45404
17222,54882
17227,42502
17228,40000
17230,75760
17235,40000
17236,75541
17243,56517
17245,81426
17255,68728
17260,40000
17268,49079
17276,40000
17277,40000
17279,69586
17280,69670
17284,40000
17285,55174
17287,50398
17291,85606
17294,43785
17303,40000
17305,55453
17308,52784
17314,72592
17316,56411
17325,40000
17326,40000
17327,50152
17329,58239
17333,42607
17335,64137
17336,71761
17339,58306
17340,65863
17352,71029
17355,40000
17364,40000
17379,41384
17384,55693
17386,40000
17387,49554
17391,60230
17396,40000
17397,40000
17407,53648
17412,43480
17413,40425
17414,40000
17415,54112
17419,40000
17423,78956
17436,79815
17439,69016
17440,72408
17448,40728
17457,59711
17463,40000
17466,40000
17468,59122
17470,60901
17472,40000
17474,54141
17476,56367
17479,49197
17482,74008
17483,56090
17487,40000
17488,63543
17489,48368
17497,55867
17500,44825
17505,63455
17512,40000
17513,79165
17520,40000
17523,40000
17525,40000
17526,88889
17534,40231
17539,60576
17542,42531
17544,53927
17551,74590
17552,45663
17555,40000
17556,67047
17559,53573
17562,53836
17568,45495
17571,56793
17573,77659
17576,40000
17582,44397
17584,40000
17586,40000
17593,40000
17596,55560
17611,55338
17621,60838
17629,70592
17638,40992
17644,80676
17647,75896
17648,40000
17651,40000
17657,43935
17667,40000
17670,84401
17674,43044
17676,40000
17677,40000
17680,40000
17683,54891
17688,45880
17696,40000
17699,48618
17704,40000
17705,50346
17711,49277
17716,40000
17718,40000
17723,79795
17728,57162
17736,40000
17742,52300
17745,40000
17749,61130
17751,40000
17753,79498
17754,40000
17776,40000
17778,40000
17783,49706
17788,67707
17791,46451
17798,83096
17800,43968
17803,57485
17806,40000
17807,40000
17811,40000
17815,40000
17816,74497
17819,40000
17824,40000
17826,50924
17828,40000
17829,77734
17833,40000
17834,40000
17836,61098
17840,66948
17841,40000
17849,40000
17854,77064
17855,40000
17861,40000
17864,88947
17869,40000
17871,48561
17874,75424
17885,51626
17890,54478
17891,44505
17900,40000
17907,69291
17916,65572
17919,71358
17921,61589
17925,47958
17938,87164
17939,57603
17941,40000
17949,40000
17950,40000
17956,40000
17958,40000
17963,57834
17964,40000
17973,51947
17981,63226
17984,40125
17986,77587
17995,40000
18000,51167
18006,108512
18008,40000
18013,40000
18016,50136
18018,70282
18020,40000
18022,40000
18030,55277
18034,41384
18035,67409
18040,56308
18044,63563
18059,48228
18065,52601
18069,43690
18075,44780
18080,40000
18096,40000
18099,48187
18101,91793
18106,60846
18108,76712
18113,40000
18115,46627
18117,41007
18123,40000
18124,58819
18130,40000
18134,70424
18135,59507
18138,62786
18140,40000
18144,40069
18155,40000
18157,48645
18169,40000
18175,70857
18181,50366
18186,40000
18190,40000
18191,40000
18199,43128
18200,52795
18205,60924
18208,70916
18210,40000
18212,40000
18215,58760
18217,52761
18219,55329
18223,48598
18231,66920
18234,59634
18237,40592
18239,42976
18242,62461
18251,58297
18259,40000
18261,40000
18274,63753
18283,45681
18284,79794
18290,40000
18291,45259
18297,56421
18299,40000
18308,49792
18310,41095
18313,40000
18316,54186
18318,61555
18322,40000
18323,40000
18328,41881
18333,40520
18339,40000
18346,45486
18348,40000
18356,42677
18366,45445
18371,49889
18374,56668
18375,41562
18376,50047
18379,40000
18382,57540
18383,68788
18386,66338
18390,60326
18393,40205
18396,51817
18397,40000
18398,56854
18401,59818
18402,45396
18418,47803
18427,65998
18429,45850
18438,41898
18441,40000
18443,69107
18448,44353
18449,40000
18450,59963
18454,64815
18459,40000
18462,40000
18467,40000
18468,40000
18478,40000
18497,40000
18498,83122
18499,40000
18503,66668
18511,40000
18532,52115
18535,46219
18536,40000
18537,40789
18538,59168
18540,40000
18541,40000
18542,48606
18547,40000
18549,40000
18551,40000
18563,53738
18565,74969
18571,70621
18573,88101
18579,48733
18580,40000
18581,99867
18582,50417
18586,84193
18596,46630
18598,47523
18604,40000
18621,40510
18627,40000
18628,68622
18646,40000
18656,61143
18663,62505
18664,55929
18665,50748
18666,69504
18668,40000
18669,47170
18671,55188
18673,40000
18679,80953
18684,70754
18691,47438
18692,56378
18698,40000
18701,58282
18702,56913
18705,48680
18706,47897
18715,40000
18716,40000
18725,48904
18726,40000
18727,53209
18728,42857
18742,48647
18744,61614
18759,40000
18764,40000
18770,55686
18771,51637
18775,62152
18783,40000
18784,48213
18786,40000
18787,50353
18789,61935
18790,41481
18794,45917
18795,56530
18796,52643
18799,42095
18802,40000
18806,59955
18809,63500
18811,59977
18812,57376
18815,87881
18817,40000
18825,45115
18826,40000
18828,40000
18829,50207
18833,46611
18835,40000
18837,40000
18840,40000
18850,57246
18861,40331
18866,56470
18868,44386
18872,48988
18875,40000
18881,66599
18885,72994
18886,50615
18888,40562
18890,43372
18905,40000
18910,40000
18917,52218
18919,63564
18921,73112
18924,49779
18927,40000
18933,47862
18943,54916
18946,40000
18948,40000
18954,47954
18955,60604
18958,80150
18964,42245
18974,59313
18979,76060
18980,56699
18983,56408
18986,55714
18989,53559
18994,69135
19006,40000
19012,56894
19014,49781
19019,82676
19027,46182
19029,40000
19031,86266
19034,53806
19035,45728
19036,61331
19037,40000
19042,40000
19048,64540
19049,40000
19051,70956
19056,40000
19062,55889
19066,56296
19073,64081
19076,40000
19089,64741
19091,40000
19101,47268
19104,49326
19105,41966
19109,46911
19114,71920
19116,40000
19120,49416
19129,40000
19132,40000
19133,68717
19134,89672
19136,51728
19144,101263
19145,54008
19147,76197
19151,40000
19153,76260
19154,40000
19155,58058
19160,72108
19162,40000
19168,81702
19174,83244
19179,46995
19183,61455
19192,56767
19193,41877
19200,81196
19201,85848
19205,93690
19206,71889
19209,40000
19220,85619
19222,47714
19225,44534
19239,60878
19242,64357
19244,51173
19245,79496
19249,40000
19256,40000
19259,47060
19268,40000
19271,42273
19275,45426
19289,59172
19294,40000
19306,45631
19307,56551
19310,55989
19318,55717
19323,55222
19328,40000
19329,48046
19332,66487
19333,44724
19335,40000
19336,74053
19345,40000
19348,73407
19353,58474
19356,51642
19359,53686
19360,56763
19364,48699
19368,40000
19372,40000
19373,78150
19380,40000
19381,82438
19382,40000
19383,42450
19393,52070
19394,70830
19397,46492
19400,48508
19406,49576
19410,40000
19419,52164
19422,48435
19425,53627
19426,40000
19437,60814
19444,49310
19453,40000
19454,40000
19455,40000
19459,54603
19467,40000
19470,40000
19475,67482
19483,57869
19487,64256
19488,45504
19493,59120
19496,40000
19497,40000
19501,72030
19503,43939
19508,40000
19511,69281
19513,58854
19515,79297
19518,48762
19520,61414
19530,40000
19533,91866
19534,40000
19543,55814
19544,40000
19546,40000
19549,79277
19557,54617
19562,40000
19565,40000
19569,45254
19579,40000
